not_tf_neigh	tf_neigh	tf	type
474	3	ENSG00000043039	regulatory
5793	78	ENSG00000043039	not_regulatory
388	0	ENSG00000064961	regulatory
5930	30	ENSG00000064961	not_regulatory
3798	1	ENSG00000071564	regulatory
2546	3	ENSG00000071564	not_regulatory
328	0	ENSG00000078900	regulatory
6014	6	ENSG00000078900	not_regulatory
4700	5	ENSG00000118513	regulatory
1634	9	ENSG00000118513	not_regulatory
21	0	ENSG00000125846	regulatory
6324	3	ENSG00000125846	not_regulatory
919	0	ENSG00000129245	regulatory
5425	4	ENSG00000129245	not_regulatory
1618	6	ENSG00000135373	regulatory
4710	14	ENSG00000135373	not_regulatory
13	0	ENSG00000135457	regulatory
6328	7	ENSG00000135457	not_regulatory
3252	16	ENSG00000148516	regulatory
3060	20	ENSG00000148516	not_regulatory
713	0	ENSG00000160685	regulatory
5631	4	ENSG00000160685	not_regulatory
1155	0	ENSG00000165632	regulatory
5192	1	ENSG00000165632	not_regulatory
1157	0	ENSG00000168036	regulatory
5190	1	ENSG00000168036	not_regulatory
2405	0	ENSG00000171316	regulatory
3941	2	ENSG00000171316	not_regulatory
1368	0	ENSG00000178403	regulatory
4979	1	ENSG00000178403	not_regulatory
1	0	ENSG00000182983	regulatory
6331	16	ENSG00000182983	not_regulatory
1687	0	ENSG00000005513	regulatory
4660	1	ENSG00000005513	not_regulatory
47	0	ENSG00000092203	regulatory
6300	1	ENSG00000092203	not_regulatory
0	0	ENSG00000124422	regulatory
6343	5	ENSG00000124422	not_regulatory
3554	0	ENSG00000077782	regulatory
2793	1	ENSG00000077782	not_regulatory
